-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2026 through 09/26/2026 in LST
Location: latitude  22.28   longitude 114.16 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN
2026,1,1,3.4502,4.3514
2026,1,2,4.3013,4.3553
2026,1,3,4.3241,4.3702
2026,1,4,4.0687,4.3714
2026,1,5,4.5341,4.5614
2026,1,6,4.0848,4.2098
2026,1,7,4.4134,4.4239
2026,1,8,4.7338,4.7506
2026,1,9,4.7009,4.7134
2026,1,10,4.781,4.8017
2026,1,11,4.7616,4.7786
2026,1,12,3.2057,4.0901
2026,1,13,4.5898,4.6193
2026,1,14,4.7215,4.787
2026,1,15,4.5106,4.577
2026,1,16,4.6961,4.7107
2026,1,17,4.3548,4.4287
2026,1,18,4.5298,4.6241
2026,1,19,4.1774,4.2199
2026,1,20,2.149,4.6313
2026,1,21,1.8478,4.2934
2026,1,22,2.6189,4.4357
2026,1,23,2.599,4.5132
2026,1,24,4.3442,4.397
2026,1,25,4.4527,4.7136
2026,1,26,4.2509,4.8665
2026,1,27,4.1674,4.9519
2026,1,28,3.655,4.867
2026,1,29,3.2431,4.6663
2026,1,30,1.543,4.6438
2026,1,31,1.201,4.4878
2026,2,1,3.1702,4.9673
2026,2,2,4.7693,4.8
2026,2,3,3.6629,4.6687
2026,2,4,4.391,5.0215
2026,2,5,4.1455,5.2951
2026,2,6,4.8456,5.2462
2026,2,7,2.573,4.8418
2026,2,8,2.8798,4.945
2026,2,9,2.2022,4.757
2026,2,10,2.2142,5.369
2026,2,11,5.0023,5.232
2026,2,12,2.4967,5.1221
2026,2,13,5.3124,5.447
2026,2,14,5.2363,5.2663
2026,2,15,4.9358,5.7523
2026,2,16,4.9906,5.5121
2026,2,17,1.5941,4.9632
2026,2,18,4.8727,5.1139
2026,2,19,4.8257,5.3038
2026,2,20,5.0112,5.4586
2026,2,21,4.6003,5.3534
2026,2,22,4.7522,5.4103
2026,2,23,4.8895,5.5234
2026,2,24,2.9357,5.4005
2026,2,25,3.5863,5.2594
2026,2,26,1.9411,5.4365
2026,2,27,2.0786,5.3359
2026,2,28,1.0109,5.0484
2026,3,1,2.1166,6.2827
2026,3,2,2.4247,5.9813
2026,3,3,0.9955,5.3573
2026,3,4,1.4117,5.1662
2026,3,5,4.9358,5.7288
2026,3,6,4.0102,6.018
2026,3,7,5.3443,5.898
2026,3,8,5.9261,6.0058
2026,3,9,4.5264,5.7718
2026,3,10,2.0462,5.8507
2026,3,11,4.165,6.301
2026,3,12,6.6324,6.6545
2026,3,13,6.528,6.5597
2026,3,14,6.4231,6.5201
2026,3,15,6.5059,6.5914
2026,3,16,6.2916,6.6048
2026,3,17,3.4798,6.425
2026,3,18,5.7766,6.2909
2026,3,19,5.849,6.083
2026,3,20,4.0344,6.0698
2026,3,21,2.6906,5.8877
2026,3,22,5.2318,6.001
2026,3,23,5.077,6.0485
2026,3,24,4.2833,6.4418
2026,3,25,5.8507,6.2467
2026,3,26,2.7943,6.2638
2026,3,27,3.6662,6.1452
2026,3,28,2.9431,6.0576
2026,3,29,3.7733,5.5462
2026,3,30,4.2319,6.4742
2026,3,31,3.5285,6.391
2026,4,1,6.089,7.1726
2026,4,2,2.7773,6.4181
2026,4,3,3.7193,6.9811
2026,4,4,1.4467,5.5056
2026,4,5,1.6942,5.1221
2026,4,6,2.4881,5.4521
2026,4,7,3.3326,5.3856
2026,4,8,2.3407,5.5723
2026,4,9,4.7299,6.6218
2026,4,10,4.8823,6.2628
2026,4,11,2.911,6.3221
2026,4,12,4.9682,6.6086
2026,4,13,5.6258,6.5398
2026,4,14,4.4141,5.693
2026,4,15,4.8636,6.2179
2026,4,16,5.922,6.5923
2026,4,17,3.4846,5.8318
2026,4,18,5.425,6.1073
2026,4,19,6.1375,6.6674
2026,4,20,4.2101,5.8867
2026,4,21,3.367,5.6897
2026,4,22,5.6582,6.6142
2026,4,23,2.7518,6.3353
2026,4,24,1.0051,5.7199
2026,4,25,3.7202,6.1733
2026,4,26,6.967,7.2643
2026,4,27,5.6563,7.2684
2026,4,28,3.6173,6.9982
2026,4,29,3.5904,6.3218
2026,4,30,3.4366,6.1219
2026,5,1,5.161,7.5626
2026,5,2,4.9891,7.3774
2026,5,3,3.0715,7.2912
2026,5,4,3.1154,6.2479
2026,5,5,1.3656,6.21
2026,5,6,2.9712,6.6907
2026,5,7,6.4325,7.2936
2026,5,8,4.9001,7.0937
2026,5,9,1.6435,6.7697
2026,5,10,2.6801,6.7915
2026,5,11,4.529,7.0142
2026,5,12,5.2498,6.9538
2026,5,13,6.9998,7.5948
2026,5,14,2.7194,7.4575
2026,5,15,2.1175,6.9619
2026,5,16,2.3398,5.9717
2026,5,17,2.4281,6.4452
2026,5,18,4.2094,6.9715
2026,5,19,2.6326,7.3181
2026,5,20,3.6228,7.3354
2026,5,21,2.2056,7.1796
2026,5,22,6.0538,7.4664
2026,5,23,4.6291,7.4873
2026,5,24,5.5639,7.4832
2026,5,25,6.5227,7.585
2026,5,26,5.2922,7.6224
2026,5,27,6.9406,7.6202
2026,5,28,7.512,7.7954
2026,5,29,6.491,7.4472
2026,5,30,6.0926,6.9982
2026,5,31,4.9462,7.2293
2026,6,1,5.6942,7.2449
2026,6,2,5.6954,7.2958
2026,6,3,6.7829,7.518
2026,6,4,6.9931,7.5283
2026,6,5,5.2555,7.1374
2026,6,6,2.6273,7.1652
2026,6,7,4.5478,7.2343
2026,6,8,2.9369,7.0126
2026,6,9,2.1778,6.7829
2026,6,10,2.0866,6.8141
2026,6,11,3.499,6.7344
2026,6,12,4.3346,6.9334
2026,6,13,2.5282,7.5007
2026,6,14,0.9547,7.2773
2026,6,15,1.4518,7.1594
2026,6,16,0.9379,7.0949
2026,6,17,2.8706,6.9475
2026,6,18,0.8453,7.2305
2026,6,19,5.4672,7.6378
2026,6,20,5.9873,7.7897
2026,6,21,7.1374,7.7417
2026,6,22,7.3968,7.8454
2026,6,23,6.9574,7.7698
2026,6,24,6.57,7.6066
2026,6,25,4.2684,7.1395
2026,6,26,3.8582,7.0406
2026,6,27,3.7766,6.6612
2026,6,28,1.5036,6.6641
2026,6,29,4.9862,7.259
2026,6,30,6.1082,-999.0
2026,7,1,5.6712,-999.0
2026,7,2,6.0526,-999.0
2026,7,3,5.9102,-999.0
2026,7,4,4.1542,-999.0
2026,7,5,5.5954,-999.0
2026,7,6,5.1002,-999.0
2026,7,7,1.9848,-999.0
2026,7,8,5.101,-999.0
2026,7,9,5.1154,-999.0
2026,7,10,5.6258,-999.0
2026,7,11,7.2617,-999.0
2026,7,12,6.5815,-999.0
2026,7,13,3.8059,-999.0
2026,7,14,2.7043,-999.0
2026,7,15,1.1791,-999.0
2026,7,16,1.6961,-999.0
2026,7,17,2.3738,-999.0
2026,7,18,3.9542,-999.0
2026,7,19,3.8532,-999.0
2026,7,20,0.8081,-999.0
2026,7,21,3.6792,-999.0
2026,7,22,6.8098,-999.0
2026,7,23,6.8393,-999.0
2026,7,24,6.9746,7.4206
2026,7,25,2.9316,-999.0
2026,7,26,1.4381,-999.0
2026,7,27,2.5018,-999.0
2026,7,28,4.2648,-999.0
2026,7,29,1.6598,-999.0
2026,7,30,3.4783,-999.0
2026,7,31,1.0951,-999.0
2026,8,1,2.0378,-999.0
2026,8,2,0.8652,-999.0
2026,8,3,3.4846,-999.0
2026,8,4,6.0802,-999.0
2026,8,5,4.429,-999.0
2026,8,6,6.9982,-999.0
2026,8,7,6.8731,6.9972
2026,8,8,6.7675,6.9986
2026,8,9,6.6271,-999.0
2026,8,10,6.7493,-999.0
2026,8,11,6.6811,-999.0
2026,8,12,6.0787,-999.0
2026,8,13,3.4922,-999.0
2026,8,14,0.4241,-999.0
2026,8,15,3.635,-999.0
2026,8,16,6.1632,-999.0
2026,8,17,3.0502,-999.0
2026,8,18,4.4489,-999.0
2026,8,19,6.414,-999.0
2026,8,20,2.736,-999.0
2026,8,21,4.207,-999.0
2026,8,22,3.3574,-999.0
2026,8,23,3.7128,-999.0
2026,8,24,3.3744,-999.0
2026,8,25,3.1752,-999.0
2026,8,26,3.3974,-999.0
2026,8,27,1.0277,-999.0
2026,8,28,4.7088,-999.0
2026,8,29,4.932,-999.0
2026,8,30,2.8346,-999.0
2026,8,31,2.5637,-999.0
2026,9,1,2.161,-999.0
2026,9,2,4.3574,-999.0
2026,9,3,3.108,-999.0
2026,9,4,4.8818,-999.0
2026,9,5,5.4888,-999.0
2026,9,6,4.4923,-999.0
2026,9,7,4.9447,-999.0
2026,9,8,5.8942,6.3569
2026,9,9,5.7214,-999.0
2026,9,10,5.5673,6.2635
2026,9,11,6.0816,-999.0
2026,9,12,5.2118,-999.0
2026,9,13,4.2283,-999.0
2026,9,14,3.9218,-999.0
2026,9,15,5.1694,-999.0
2026,9,16,5.395,-999.0
2026,9,17,5.6232,-999.0
2026,9,18,5.9902,-999.0
2026,9,19,5.8891,6.09
2026,9,20,5.5469,5.9918
2026,9,21,-999.0,-999.0
2026,9,22,-999.0,-999.0
2026,9,23,-999.0,-999.0
2026,9,24,-999.0,-999.0
2026,9,25,-999.0,-999.0
2026,9,26,-999.0,-999.0
